State,ID,Work Item Type,Title,Tags,Remaining Work,Original Estimate,Activity,Parent
"Ready For Testing","24239","Product Backlog Item","Branding: Variablize font color for categories in option pricing","branding",,,,
"Ready For Work","28596","Bug","Design Selections: Image disparity",,,,,
"Testing","28613","Product Backlog Item","Auth: Migrate Spike code to development branch","Auth; scripts",,,,"28426"
"Ready For Work","28614","Product Backlog Item","Auth: Implement domain match policy","Auth",,,,"28426"
"Ready For Work","28615","Product Backlog Item","Auth: Okta user can authenticate to VDS","Auth",,,,"28426"
"Ready For Work","28616","Product Backlog Item","Auth: display ""user not provisioned"" error message","Auth",,,,"28426"
"In Dev","28645","Product Backlog Item","Interfacelift Training ""3rd Party Authorization 2""","No QA",,,,
"To Do","28646","Task","Justin Training",,"15","15","Development","28645"
"To Do","28647","Task","Daniel Training",,"15","15","Development","28645"
"In Progress","28648","Task","Reid Training",,"14","15","Development","28645"
"To Do","28651","Task","Write Test Cases",,"3",,"Test Design","28653"
"Done","28652","Product Backlog Item","RC for 11/10",,,,,
"Ready For Work","28653","Product Backlog Item","Regression Test: Today's Appts","QA only",,,,"21389"
"Done","28654","Task","Create and deploy RC",,,,"Development","28652"
"Done","28655","Task","Test RC in Staging",,,,"Testing","28652"
"Done","28656","Task","Run e2e automated test in Staging",,,,"Testing","28652"
"Done","28657","Task","Deployment Planning Meeting",,,,,"28652"
"Done","28658","Task","Write QA Tests",,,"3","Test Design","28613"
"To Do","28659","Task","Execute QA Tests",,"4","4","Testing","28613"
"To Do","28660","Task","PO Review",,"1","1",,"28613"
"To Do","28661","Task","Write QA Tests",,"3","3","Testing","28614"
"To Do","28662","Task","Execute QA Tests",,"4","4","Testing","28614"
"To Do","28663","Task","PO Review",,"1","1",,"28614"
"To Do","28664","Task","Write QA Tests",,"3","3","Test Design","28615"
"To Do","28665","Task","Execute QA Tests",,"4","4","Testing","28615"
"To Do","28666","Task","PO Review",,"1","1",,"28615"
"Done","28667","Task","Entity creation",,,"2","Development","28613"
"To Do","28668","Task","Write QA Tests",,"2","2","Test Design","28616"
"To Do","28669","Task","Execute QA Tests",,"1","1","Testing","28616"
"Done","28670","Task","Run migration",,,"2","Development","28613"
"To Do","28671","Task","PO Review",,"1","1",,"28616"
"To Do","28672","Task","Confirmation Testing",,"3","3","Testing","28596"
"Done","28673","Task","Update GetAuthProviders use case",,,"4","Development","28613"
"To Do","28674","Task","PO Review",,"1","1",,"28596"
"In Progress","28675","Task","Write QA Tests",,"1","2","Test Design","24239"
"To Do","28676","Task","PO Review",,"1","1",,"24239"
"To Do","28677","Task","Execute QA Tests",,"3","3","Testing","24239"
"Done","28679","Task","Validate JWTs",,,"4","Development","28613"
"Done","28680","Task","Update the authenticate use case",,,"4","Development","28613"
"Done","28681","Task","Script auth providers",,,"1","Development","28613"
"Done","28682","Task","In the frontend, remove call to fetch all auth providers",,,"1","Development","28613"
"Done","28683","Task","PR",,,"3","Development","28613"
"Done","28684","Task","Update Postman collection for POST endpoint",,,"2","Development","28613"
"Done","28685","Task","Write unit tests",,,"8","Development","28613"
"Done","28686","Task","Developer Testing",,,"9","Development","28613"
"To Do","28687","Task","Entity creation",,"2","2","Development","28614"
"To Do","28688","Task","Run migration",,"2","2","Development","28614"
"To Do","28689","Task","Create use case to fetch auth provider from email domain",,"4","4","Development","28614"
"To Do","28690","Task","New endpoint",,"1","1","Development","28614"
"To Do","28691","Task","Debounce logic on sign in screen and fetch providers",,"5","5","Development","28614"
"To Do","28692","Task","Unit tests for new use case",,"4","4","Development","28614"
"To Do","28693","Task","Update Postman collection",,"2","2","Development","28614"
"To Do","28694","Task","Make UI look good in any reasonable case",,"3","3","Development","28614"
"To Do","28695","Task","PR",,"3","3","Development","28614"
"To Do","28696","Task","Developer Testing",,"9","9","Development","28614"
"Active","28697","Test Plan","3rd Party Authorization 2",,,,,
"In Progress","28698","Test Suite","3rd Party Authorization 2",,,,,
"To Do","28701","Task","Developer Testing",,"12","12","Development","28615"
"To Do","28702","Task","Possible code changes",,"4","4","Development","28615"
"To Do","28703","Task","Throw specified error when necessary in use case",,"2","2","Development","28616"
"To Do","28704","Task","Respond to error in UI",,"3","3","Development","28616"
"To Do","28705","Task","PR",,"3","3","Development","28616"
"To Do","28706","Task","Developer Testing",,"6","6","Development","28616"
"To Do","28707","Task","Find the bug",,"10","10","Development","28596"
"To Do","28708","Task","Document to QA steps to eradicate bug",,"2","2","Development","28596"
"To Do","28709","Task","Exterminate da bug",,"4","4","Development","28596"
"To Do","28710","Task","PR",,"2","2","Development","28596"
"To Do","28711","Task","Developer Testing",,"6","6","Development","28596"
"Done","28712","Task","Create new variable for option pricing menu text",,,"2","Development","24239"
"Done","28713","Task","Create new variable for DMH and DS if necessary",,,"6","Development","24239"
"Done","28714","Task","Map variables to palette slot",,,"2","Development","24239"
"Done","28715","Task","Document changes",,,"1","Development","24239"
"Done","28716","Task","PR",,,"3","Development","24239"
"Done","28717","Task","Developer Testing",,,"9","Development","24239"
"Done","28718","Task","Talk to Rob about Doofenshmirtz",,,"2","Development","24239"
"Done","28736","Task","Update Postman Collection for GET endpoint",,,"0.5",,"28613"
"Design","28745","Test Case","NEED ANS > Branding: Variablize font color for categories in option pricing (Default theme)",,,,,
"Design","28749","Test Case","NEED ANS > Branding: Variablize font color for categories in option pricing (Custom themes)",,,,,
"Design","28750","Test Case","Auth: Migrate Spike code to development branch",,,,,
"Design","28751","Test Case","Modify temporary password via VEO Admin",,,,,